Model year,Make,Model,Vehicle class,Motor (kW),Transmission,Fuel type,City (kWh/100 km),Highway (kWh/100 km),Combined (kWh/100 km),City (Le/100 km),Highway (Le/100 km),Combined (Le/100 km),Range (km),CO2 emissions (g/km),CO2 rating ,Smog rating,Recharge time (h),CO2 rating
2021-01-01,Audi,e-tron 55 quattro,Sport utility vehicle: Standard,300,A1,B,26,27,27,3,3,3,357,0,10,10,10,10
2021-01-01,Audi,e-tron Sportback 55 quattro,Sport utility vehicle: Standard,300,A1,B,27,27,27,3,3,3,351,0,10,10,10,10
2021-01-01,BMW,i3 (120 Ah),Subcompact,125,A1,B,16,20,18,1,2,2,246,0,10,10,7,10
2021-01-01,BMW,i3s (120 Ah),Subcompact,135,A1,B,16,20,18,1,2,2,246,0,10,10,7,10
2021-01-01,Chevrolet,Bolt EV,Station wagon: Small,150,A1,B,16,19,17,1,2,2,417,0,10,10,10,10
2021-01-01,Ford,Mustang Mach-E Standard Range,Station wagon: Small,198,A1,B,19,22,21,2,2,2,370,0,10,10,8,10
2021-01-01,Ford,Mustang Mach-E Standard Range AWD,Station wagon: Small,198,A1,B,21,24,22,2,2,2,340,0,10,10,8,10
2021-01-01,Ford,"\"Mustang Mach-E Extended Range (19\"\" Wheels)\"",Station wagon: Small,216,A1,B,20,23,21,2,2,2,483,0,10,10,10,10
2021-01-01,Ford,Mustang Mach-E Extended Range AWD,Station wagon: Small,258,A1,B,21,25,23,2,2,2,435,0,10,10,10,10
2021-01-01,Ford,Mustang Mach-E California Route 1,Station wagon: Small,216,A1,B,19,22,20,2,2,2,491,0,10,10,11,10
2021-01-01,Ford,Mustang Mach-E GT Performance Edition,Station wagon: Small,358,A1,B,23,27,25,2,3,2,418,0,10,10,10,10
2021-01-01,Hyundai,IONIQ Electric,Mid-size,100,A1,B,14,17,15,1,1,1,274,0,10,10,5,10
2021-01-01,Hyundai,Kona Electric,Sport utility vehicle: Small,150,A1,B,16,19,17,1,2,2,415,0,10,10,9,10
2021-01-01,Kia,Niro EV,Station wagon: Small,150,A1,B,17,20,18,1,2,2,385,0,10,10,9,10
2021-01-01,Kia,Soul EV (120 Ah),Station wagon: Small,150,A1,B,15,20,17,1,2,2,248,0,10,10,6,10
2021-01-01,Kia,Soul EV (180 Ah),Station wagon: Small,150,A1,B,16,21,18,1,2,2,383,0,10,10,9,10
2021-01-01,MINI,Cooper SE 3 Door,Subcompact,135,A1,B,18,20,19,2,2,2,177,0,10,10,4,10
2021-01-01,Nissan,LEAF (40 kWh),Mid-size,110,A1,B,17,21,18,1,2,2,240,0,10,10,8,10
2021-01-01,Nissan,LEAF S PLUS,Mid-size,160,A1,B,17,21,19,2,2,2,363,0,10,10,11,10
2021-01-01,Nissan,LEAF SV/SL PLUS,Mid-size,160,A1,B,18,22,20,2,2,2,349,0,10,10,11,10
2021-01-01,Polestar,2,Mid-size,300,A1,B,21,23,22,2,2,2,375,0,10,10,8,10
2021-01-01,Porsche,Taycan 4 Cross Turismo,Mid-size,280,A2,B,27,27,27,3,3,3,346,0,10,10,10,10
2021-01-01,Porsche,Taycan 4S (Performance Battery),Compact,320,A2,B,26,26,26,3,2,3,320,0,10,10,9,10
2021-01-01,Porsche,Taycan 4S (Performance Battery Plus),Compact,360,A2,B,28,25,27,3,2,3,365,0,10,10,10,10
2021-01-01,Porsche,Taycan 4S Cross Turismo,Mid-size,360,A2,B,28,28,28,3,3,3,346,0,10,10,10,10
2021-01-01,Porsche,Taycan Turbo,Compact,460,A2,B,29,28,28,3,3,3,341,0,10,10,10,10
2021-01-01,Porsche,Taycan Turbo Cross Turismo,Mid-size,460,A2,B,29,29,29,3,3,3,328,0,10,10,10,10
2021-01-01,Porsche,Taycan Turbo S,Compact,460,A2,B,30,29,29,3,3,3,323,0,10,10,10,10
2021-01-01,Porsche,Taycan Turbo S Cross Turismo,Mid-size,460,A2,B,28,28,28,3,3,3,325,0,10,10,10,10
2021-01-01,Tesla,Model 3 Standard Range,Mid-size,191,A1,B,14,16,15,1,1,1,151,0,10,10,3,10
2021-01-01,Tesla,Model 3 Standard Range Plus,Mid-size,191,A1,B,13,15,14,1,1,1,423,0,10,10,8,10
2021-01-01,Tesla,Model 3 Long Range AWD,Mid-size,293,A1,B,14,16,15,1,1,1,568,0,10,10,10,10
2021-01-01,Tesla,Model 3 Performance,Mid-size,321,A1,B,17,19,18,2,2,2,507,0,10,10,10,10
2021-01-01,Tesla,Model S Long Range,Full-size,494,A1,B,16,18,17,1,2,2,652,0,10,10,15,10
2021-01-01,Tesla,Model S Long Range Plus,Full-size,398,A1,B,18,19,18,2,2,2,629,0,10,10,12,10
2021-01-01,Tesla,"\"Model S Performance (19\"\" Wheels)\"",Full-size,580,A1,B,18,19,19,2,2,2,623,0,10,10,12,10
2021-01-01,Tesla,"\"Model S Performance (21\"\" Wheels)\"",Full-size,580,A1,B,21,22,21,2,2,2,538,0,10,10,12,10
2021-01-01,Tesla,"\"Model S Plaid (19\"\" Wheels)\"",Full-size,750,A1,B,17,18,18,2,2,2,637,0,10,10,15,10
