Model year,Make,Model,Vehicle class,Motor (kW),Engine size (L),Cylinders,Transmission,Fuel type 1,Combined Le/100 km,Range 1 (km),Recharge time (h),Fuel type 2,City (L/100 km),Highway (L/100 km),Combined (L/100 km),Range 2 (km),CO2 emissions (g/km),CO2 rating,Smog rating
2016-01-01,Porsche,Panamera S E-Hybrid,Full-size,71,3,6,A8,B/Z,4.6 ([31.7 kWh + 1.0 L]/100 km),26,3,Z,10,8,9,871,142,9,
2016-01-01,Volvo,XC90 T8 AWD,Sport utility vehicle: Standard,65,2,4,AS8,B/Z*,4.6 ([40.4 kWh + 0.0 L]/100 km),21,3,Z,10,8,9,529,150,8,
2017-01-01,Audi,A3 e-tron,Compact,80,1,4,A6,B/Z*,2.8 ([25.5 kWh + 0.0 L]/100 km),26,2,Z,7,6,6,579,98,10,8
2017-01-01,BMW,330e,Compact,65,2,4,AS8,B/Z*,3.3 ([29.5 kWh + 0.0 L]/100 km),23,2,Z,8,6,7,533,118,10,6
2017-01-01,BMW,740e xDrive,Full-size,83,2,4,AS8,B/Z*,3.6 ([32.1 kWh + 0.0 L]/100 km),23,3,Z,9,8,8,525,133,9,6
2017-01-01,BMW,i3 REx (94 Ah),Subcompact,125,0,2,A1,B,2.1 (18.9 kWh/100 km),156,5,Z,6,7,6,129,18,10,8
2017-01-01,BMW,i8,Subcompact,96,1,3,A6,B/Z,3.1 ([26.9 kWh + 0.2 L]/100 km),24,2,Z,8,8,8,509,123,10,6
2017-01-01,BMW,X5 xDrive40e,Sport utility vehicle: Standard,83,2,4,AS8,B/Z*,4.2 ([36.8 kWh + 0.0 L]/100 km),23,3,Z,10,9,9,840,154,8,6
2017-01-01,Cadillac,CT6 Plug-in Hybrid,Mid-size,178,2,4,AV,B/Z*,3.8 ([33.7 kWh + 0.0 L]/100 km),50,4,Z,10,8,9,658,89,10,6
2017-01-01,Chevrolet,Volt,Compact,111,1,4,AV,B,2.2 (19.9 kWh/100 km),85,4,X,5,5,5,591,32,10,6
2017-01-01,Chrysler,Pacifica Hybrid,Minivan,89,3,6,AV,B/X*,2.8 ([24.9 kWh + 0.0 L]/100 km),53,2,X,7,7,7,858,66,10,8
2017-01-01,Ford,C-MAX Energi,Mid-size,35,2,4,AV,B/X*,2.5 ([22.0 kWh + 0.0 L]/100 km),33,2,X,5,6,6,884,76,10,8
2017-01-01,Ford,Fusion Energi,Mid-size,35,2,4,AV,B/X*,2.4 ([21.5 kWh + 0.0 L]/100 km),35,2,X,5,5,5,947,70,10,8
2017-01-01,Hyundai,Sonata Plug-in Hybrid,Mid-size,50,2,4,AM6,B/X*,2.4 ([21.1 kWh + 0.0 L]/100 km),43,2,X,6,5,6,901,65,10,8
2017-01-01,Karma,Revero,Subcompact,300,2,4,A1,B,4.6 (41.0 kWh/100 km),51,3,Z,13,12,12,303,114,10,5
2017-01-01,Kia,Optima Plug-in Hybrid,Mid-size,50,2,4,AM6,B/X*,2.3 ([20.3 kWh + 0.0 L]/100 km),47,2,X,6,5,5,935,60,10,8
2017-01-01,Mercedes-Benz,GLE 550e 4MATIC,Sport utility vehicle: Standard,85,3,6,AS7,B/Z,5.5 ([42.7 kWh + 0.8 L]/100 km),19,1,Z,11,10,11,719,184,7,6
2017-01-01,Mercedes-Benz,S 550e,Full-size,85,3,6,AS7,B/Z*,4.1 ([36.7 kWh + 0.0 L]/100 km),23,2,Z,10,7,9,702,142,9,6
2017-01-01,Porsche,Cayenne S E-Hybrid,Sport utility vehicle: Standard,71,3,6,A8,B,5.1 (44.2 kWh/100 km),23,3,Z,11,9,10,768,160,8,6
2017-01-01,Toyota,Prius Prime,Mid-size,71,1,4,AV,B/X*,1.8 ([15.8 kWh + 0.0 L]/100 km),40,2,X,4,4,4,995,49,10,8
